/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Standard
  Data      : 154_FeS
  File Name : 154_FeS.RAW

# Profile Datafile
          comment             = 154_FeS 
          date & time         = 10-11-22 12:09:12 

# Measurement Condition
    X-ray tube
          target              = Co 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    5.000 -   80.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.60 (sec) 

# Data      [ Total No. = 3751 ]
  <2Theta>   <   I   >
     5.0000       160
     5.0200       134
     5.0400       140
     5.0600       134
     5.0800        94
     5.1000       120
     5.1200       100
     5.1400       124
     5.1600       124
     5.1800       130
     5.2000       124
     5.2200       116
     5.2400       124
     5.2600       116
     5.2800       112
     5.3000        98
     5.3200       118
     5.3400       124
     5.3600        90
     5.3800       128
     5.4000       104
     5.4200       112
     5.4400        98
     5.4600       126
     5.4800       114
     5.5000       118
     5.5200       120
     5.5400       102
     5.5600        94
     5.5800       120
     5.6000       106
     5.6200       116
     5.6400       102
     5.6600       112
     5.6800       110
     5.7000       102
     5.7200       116
     5.7400       114
     5.7600       116
     5.7800        94
     5.8000       124
     5.8200       120
     5.8400       116
     5.8600       100
     5.8800       124
     5.9000       116
     5.9200        94
     5.9400       100
     5.9600        98
     5.9800       106
     6.0000       100
     6.0200       104
     6.0400       110
     6.0600       118
     6.0800        92
     6.1000        94
     6.1200        98
     6.1400       104
     6.1600       108
     6.1800        94
     6.2000        98
     6.2200       114
     6.2400        86
     6.2600       110
     6.2800        92
     6.3000       100
     6.3200        92
     6.3400       112
     6.3600        96
     6.3800        98
     6.4000        90
     6.4200        94
     6.4400       122
     6.4600        92
     6.4800        88
     6.5000        84
     6.5200        88
     6.5400       102
     6.5600        96
     6.5800        82
     6.6000       112
     6.6200        94
     6.6400       106
     6.6600        94
     6.6800       108
     6.7000       118
     6.7200        86
     6.7400       104
     6.7600        98
     6.7800        92
     6.8000        90
     6.8200        90
     6.8400       100
     6.8600        76
     6.8800        92
     6.9000        98
     6.9200        90
     6.9400       100
     6.9600       108
     6.9800        96
     7.0000        92
     7.0200        94
     7.0400       100
     7.0600        84
     7.0800        98
     7.1000        90
     7.1200       102
     7.1400        86
     7.1600       106
     7.1800        84
     7.2000       100
     7.2200       100
     7.2400       104
     7.2600       100
     7.2800        92
     7.3000        90
     7.3200        94
     7.3400        96
     7.3600        84
     7.3800       100
     7.4000        86
     7.4200        86
     7.4400        88
     7.4600        80
     7.4800       100
     7.5000        96
     7.5200        94
     7.5400        70
     7.5600        90
     7.5800        94
     7.6000        76
     7.6200        90
     7.6400        86
     7.6600        70
     7.6800        98
     7.7000        88
     7.7200        78
     7.7400       100
     7.7600        84
     7.7800        86
     7.8000        76
     7.8200        80
     7.8400        96
     7.8600        80
     7.8800        86
     7.9000        80
     7.9200       102
     7.9400        96
     7.9600        80
     7.9800        68
     8.0000        92
     8.0200        84
     8.0400        74
